,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit Margin
0,1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01,17.869999999999997
1,2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01,1702.5499999999997
2,3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01,1544.6100000000001
3,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01,817.36
4,5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01,1055.82
5,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01,709.34
6,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01,15.080000000000005
7,8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01,1279.3999999999999
8,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1970-01-01,690.49
9,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01,1069.5500000000002
10,11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01,114.93
11,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01,14.229999999999997
12,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01,903.11
13,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1970-01-01,182.81000000000017
14,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01,1055.82
15,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01,1702.5499999999997
16,17,79,2426,2017-04-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,1970-01-01,737.5699999999999
17,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01,144.26
18,19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01,1279.3999999999999
19,20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01,709.34
20,21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01,110.80999999999995
21,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01,1544.6100000000001
22,23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01,1544.6100000000001
23,24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01,709.34
24,25,89,2822,2017-06-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01,1305.25
25,26,64,2596,2017-01-10,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01,872.8900000000001
26,27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01,872.8900000000001
27,28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01,114.93
28,29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01,90.09999999999997
29,30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01,128.45999999999992
30,31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01,817.36
31,32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01,448.67999999999995
32,33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01,709.34
33,34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01,189.27999999999997
34,35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01,167.20999999999998
35,36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01,155.6500000000001
36,37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1970-01-01,737.1700000000001
37,38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01,17.869999999999997
38,39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01,1069.5500000000002
39,40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01,167.20999999999998
40,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01,1660.88
41,42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,1970-01-01,1408.91
42,43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01,128.45999999999992
43,44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,1970-01-01,1215.34
44,45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01,1295.43
45,46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01,574.6200000000001
46,47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01,903.11
47,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01,502.47
48,49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01,110.56
49,50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01,431.33000000000004
50,51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1970-01-01,445.2099999999999
51,52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01,641.64
52,53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01,91.15
53,54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01,110.80999999999995
54,55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01,72.59999999999997
55,56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01,189.27999999999997
56,57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01,641.64
57,58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1970-01-01,25.08999999999999
58,59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,1970-01-01,583.2700000000001
59,60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,1970-01-01,217.51
60,61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01,4.8
61,62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01,144.26
62,63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01,448.67999999999995
