,customer_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFM_Score,customer_category,state,age_range
885,941,33,10,11668.95,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
2497,2637,54,11,11222.65,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1380,1460,12,8,10787.599999999999,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
1474,1558,8,9,10640.300000000001,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
687,729,1,10,10497.779999999999,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
3140,3326,29,13,10422.039999999999,2,1,1,211,Platinum,VIC,"(54.5, 72.25]"
302,322,1,12,10341.569999999998,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2624,2770,30,9,10028.800000000001,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1511,1597,25,12,9739.460000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
1787,1887,43,11,9695.59,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
183,195,0,7,9633.41,1,2,1,121,Diamond,QLD,"(54.5, 72.25]"
342,363,14,6,9458.17,1,3,1,131,Diamond,NSW,"(54.5, 72.25]"
1400,1482,68,12,9269.16,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
881,936,32,12,9244.9,2,1,1,211,Platinum,QLD,"(54.5, 72.25]"
1937,2046,33,9,9188.77,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2642,2788,44,11,9061.470000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
3057,3232,8,13,8903.619999999999,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
786,832,17,12,8868.62,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
1766,1866,38,9,8834.599999999999,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
1475,1559,56,8,8624.72,3,1,1,311,Gold,VIC,"(54.5, 72.25]"
939,999,54,10,8611.95,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
