Happiness Rank,Country or region,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2017
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2017
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2017
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2017
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2017
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2017
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2017
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2017
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2017
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2017
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2017
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2017
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2017
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2017
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2017
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2017
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2017
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2017
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2017
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2017
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2017
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2017
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2017
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2017
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2017
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2017
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2017
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2017
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2017
